d1,d2,type,Neg samples
DB00177,DB12332,46,DB01194$t
DB00178,DB00465,48,DB00897$h
DB00178,DB00963,48,DB01139$t
DB00178,DB01240,59,DB08932$h
DB00178,DB02638,59,DB01179$h
DB00178,DB04948,59,DB01224$h
DB00178,DB09292,48,DB09281$t
DB00178,DB11362,59,DB00467$t
DB00179,DB01240,69,DB01589$h
DB00179,DB01708,48,DB13450$t
DB00179,DB11660,69,DB00914$t
DB00179,DB11921,48,DB13879$h
DB00180,DB01043,48,DB00513$t
DB00180,DB01072,46,DB00881$t
DB00180,DB04855,46,DB00404$t
DB00180,DB06636,46,DB04835$t
DB00180,DB09073,72,DB06708$t
DB00180,DB09118,72,DB01364$h
DB00180,DB09330,72,DB00658$t
DB00180,DB12332,46,DB06213$h
DB00181,DB01017,15,DB00620$t
DB00181,DB04908,48,DB00142$h
DB00181,DB06204,15,DB01362$h
DB00181,DB08918,48,DB00664$h
DB00181,DB09118,48,DB00422$t
DB00181,DB09128,48,DB06412$h
DB00182,DB00169,46,DB00578$t
DB00182,DB00176,46,DB00737$h
DB00182,DB00177,59,DB01071$t
DB00182,DB00178,59,DB09277$t
DB00182,DB00191,48,DB06689$h
DB00182,DB00195,46,DB00615$t
DB00182,DB00206,48,DB05630$t
DB00182,DB00208,46,DB01611$t
DB00182,DB00211,48,DB04845$h
DB00182,DB00212,59,DB01095$t
DB00182,DB00214,59,DB01019$h
DB00182,DB00215,46,DB11641$h
DB00182,DB00217,59,DB00919$h
DB00182,DB00221,48,DB01245$t
DB00182,DB00224,46,DB09183$t
DB00182,DB00226,59,DB01273$t
DB00182,DB00238,46,DB00721$t
DB00182,DB00243,46,DB06228$t
DB00182,DB00245,75,DB00723$h
DB00182,DB00246,46,DB00672$t
DB00182,DB00252,74,DB08875$h
DB00182,DB00257,46,DB00849$t
DB00182,DB00268,46,DB00255$t
DB00182,DB00270,59,DB00955$h
DB00182,DB00275,59,DB08827$t
DB00182,DB00285,46,DB01090$h
DB00182,DB00287,59,DB05260$h
DB00182,DB00289,70,DB00622$t
DB00182,DB00295,7,DB09166$h
DB00182,DB00298,60,DB00487$h
DB00182,DB00310,59,DB01282$t
DB00182,DB00321,22,DB02638$h
DB00182,DB00325,59,DB00561$h
DB00182,DB00327,48,DB00792$h
DB00182,DB00333,48,DB00556$h
DB00182,DB00334,60,DB01558$h
DB00182,DB00335,59,DB09041$t
DB00182,DB00341,75,DB00997$h
DB00182,DB00343,59,DB01074$h
DB00182,DB00344,22,DB00392$t
DB00182,DB00349,46,DB00543$t
DB00182,DB00350,59,DB09021$h
DB00182,DB00354,75,DB00905$h
DB00182,DB00363,46,DB09040$t
DB00182,DB00370,48,DB01413$t
DB00182,DB00373,59,DB00263$h
DB00182,DB00374,59,DB00988$h
DB00182,DB00381,59,DB00958$t
DB00182,DB00388,48,DB01578$t
DB00182,DB00391,60,DB00261$h
DB00182,DB00392,75,DB00262$h
DB00182,DB00393,59,DB01182$h
DB00182,DB00401,59,DB09134$t
DB00182,DB00405,75,DB01051$t
DB00182,DB00408,60,DB00415$h
DB00182,DB00409,60,DB01353$h
DB00182,DB00420,46,DB01582$t
DB00182,DB00427,75,DB06694$h
DB00182,DB00433,60,DB06287$h
DB00182,DB00436,59,DB00489$t
DB00182,DB00449,48,DB11921$h
DB00182,DB00450,60,DB01587$h
DB00182,DB00454,40,DB06016$t
DB00182,DB00455,75,DB00573$h
DB00182,DB00457,59,DB01603$h
DB00182,DB00458,46,DB01423$h
DB00182,DB00468,46,DB01243$h
DB00182,DB00472,46,DB00952$t
DB00182,DB00476,46,DB08901$t
DB00182,DB00477,46,DB01226$h
DB00182,DB00482,46,DB11575$t
DB00182,DB00484,48,DB00515$t
DB00182,DB00490,48,DB00475$t
DB00182,DB00492,59,DB00213$t
DB00182,DB00496,46,DB00817$t
DB00182,DB00497,48,DB00217$h
DB00182,DB00501,46,DB01563$t
DB00182,DB00502,46,DB01021$h
DB00182,DB00503,46,DB08993$h
DB00182,DB00508,60,DB00998$h
DB00182,DB00519,59,DB08974$t
DB00182,DB00521,59,DB00334$t
DB00182,DB00524,59,DB00381$h
DB00182,DB00528,59,DB01610$h
DB00182,DB00540,22,DB09123$h
DB00182,DB00542,59,DB01094$t
DB00182,DB00543,22,DB00807$t
DB00182,DB00557,75,DB00980$h
DB00182,DB00559,59,DB06789$t
DB00182,DB00568,75,DB01295$h
DB00182,DB00571,59,DB00699$t
DB00182,DB00575,59,DB00261$h
DB00182,DB00584,59,DB06282$t
DB00182,DB00585,75,DB04570$h
DB00182,DB00590,59,DB00304$t
DB00182,DB00593,69,DB06825$h
DB00182,DB00598,48,DB00728$h
DB00182,DB00601,70,DB00245$t
DB00182,DB00606,59,DB01400$h
DB00182,DB00608,46,DB01066$h
DB00182,DB00610,48,DB01131$h
DB00182,DB00612,59,DB11575$h
DB00182,DB00614,70,DB02187$t
DB00182,DB00622,46,DB00391$h
DB00182,DB00623,60,DB08913$h
DB00182,DB00629,59,DB00909$h
DB00182,DB00637,75,DB00939$h
DB00182,DB00654,59,DB01415$h
DB00182,DB00657,59,DB00861$t
DB00182,DB00678,59,DB06709$t
DB00182,DB00691,59,DB00449$h
DB00182,DB00692,59,DB01057$h
DB00182,DB00703,71,DB00555$h
DB00182,DB00705,46,DB01065$t
DB00182,DB00715,46,DB08943$t
DB00182,DB00719,75,DB00184$h
DB00182,DB00722,59,DB11106$t
DB00182,DB00723,48,DB00567$h
DB00182,DB00726,22,DB01544$h
DB00182,DB00734,60,DB00581$t
DB00182,DB00737,75,DB02187$h
DB00182,DB00748,75,DB00694$h
DB00182,DB00751,75,DB04574$t
DB00182,DB00752,46,DB02703$t
DB00182,DB00765,59,DB01160$h
DB00182,DB00768,75,DB01015$t
DB00182,DB00774,59,DB00694$t
DB00182,DB00780,70,DB00253$t
DB00182,DB00790,59,DB01575$t
DB00182,DB00792,75,DB13231$h
DB00182,DB00796,59,DB01045$h
DB00182,DB00797,59,DB00803$h
DB00182,DB00800,59,DB01214$h
DB00182,DB00805,70,DB01604$t
DB00182,DB00808,59,DB00708$t
DB00182,DB00816,48,DB08964$h
DB00182,DB00819,71,DB01296$h
DB00182,DB00830,48,DB01138$t
DB00182,DB00831,60,DB01014$h
DB00182,DB00835,75,DB01183$h
DB00182,DB00841,48,DB09095$h
DB00182,DB00850,60,DB01009$h
DB00182,DB00852,48,DB00391$t
DB00182,DB00857,46,DB00080$t
DB00182,DB00863,75,DB00648$h
DB00182,DB00865,48,DB09414$h
DB00182,DB00866,59,DB11994$h
DB00182,DB00867,48,DB00209$h
DB00182,DB00869,59,DB00409$h
DB00182,DB00871,48,DB00881$t
DB00182,DB00875,60,DB00252$t
DB00182,DB00876,59,DB01396$h
DB00182,DB00880,59,DB00890$h
DB00182,DB00881,59,DB00837$h
DB00182,DB00885,75,DB01242$h
DB00182,DB00904,60,DB01113$h
DB00182,DB00905,59,DB04855$h
DB00182,DB00907,46,DB08439$t
DB00182,DB00908,46,DB00879$t
DB00182,DB00920,75,DB01063$h
DB00182,DB00924,63,DB04711$h
DB00182,DB00925,59,DB00920$h
DB00182,DB00927,75,DB04911$h
DB00182,DB00932,46,DB00760$t
DB00182,DB00933,60,DB06203$h
DB00182,DB00934,48,DB09236$h
DB00182,DB00935,48,DB01578$t
DB00182,DB00938,48,DB09112$h
DB00182,DB00950,75,DB00136$h
DB00182,DB00951,46,DB01393$t
DB00182,DB00956,48,DB00863$t
DB00182,DB00960,59,DB12278$t
DB00182,DB00964,48,DB04835$h
DB00182,DB00966,59,DB01452$t
DB00182,DB00967,75,DB01181$t
DB00182,DB00972,75,DB11586$h
DB00182,DB00983,48,DB08816$h
DB00182,DB00985,75,DB00982$h
DB00182,DB00988,48,DB00829$t
DB00182,DB00999,59,DB00508$h
DB00182,DB01001,48,DB01033$h
DB00182,DB01012,46,DB01159$t
DB00182,DB01018,59,DB06203$h
DB00182,DB01021,59,DB08909$h
DB00182,DB01023,59,DB00711$h
DB00182,DB01026,46,DB00358$t
DB00182,DB01029,59,DB01086$t
DB00182,DB01037,48,DB01327$h
DB00182,DB01054,59,DB05245$h
DB00182,DB01063,60,DB06713$h
DB00182,DB01064,48,DB01030$h
DB00182,DB01069,75,DB06713$h
DB00182,DB01075,46,DB11633$t
DB00182,DB01084,75,DB06213$h
DB00182,DB01089,59,DB00986$h
DB00182,DB01090,59,DB01142$h
DB00182,DB01100,60,DB06826$t
DB00182,DB01102,48,DB00576$h
DB00182,DB01104,46,DB00940$t
DB00182,DB01106,75,DB01433$h
DB00182,DB01114,75,DB05294$h
DB00182,DB01116,59,DB01028$h
DB00182,DB01118,46,DB00800$t
DB00182,DB01119,59,DB01369$t
DB00182,DB01136,59,DB00449$h
DB00182,DB01142,75,DB00722$h
DB00182,DB01144,71,DB09041$h
DB00182,DB01151,46,DB00140$t
DB00182,DB01156,46,DB00660$t
DB00182,DB01156,48,DB09146$h
DB00182,DB01158,59,DB01209$t
DB00182,DB01168,48,DB00415$h
DB00182,DB01171,48,DB00261$h
DB00182,DB01174,74,DB13872$h
DB00182,DB01176,75,DB00496$h
DB00182,DB01180,59,DB01656$h
DB00182,DB01184,48,DB00552$h
DB00182,DB01193,48,DB09396$t
DB00182,DB01197,59,DB01357$h
DB00182,DB01203,59,DB00130$h
DB00182,DB01214,59,DB06196$h
DB00182,DB01224,60,DB00185$h
DB00182,DB01238,60,DB01606$h
DB00182,DB01239,60,DB00234$h
DB00182,DB01240,59,DB01326$h
DB00182,DB01242,46,DB06766$h
DB00182,DB01244,59,DB00832$t
DB00182,DB01246,75,DB01219$h
DB00182,DB01247,70,DB00897$t
DB00182,DB01264,72,DB11699$h
DB00182,DB01267,60,DB08911$h
DB00182,DB01274,48,DB06702$h
DB00182,DB01275,59,DB00801$t
DB00182,DB01288,48,DB00861$t
DB00182,DB01291,48,DB01087$h
DB00182,DB01324,59,DB09274$t
DB00182,DB01340,59,DB01282$h
DB00182,DB01348,59,DB00637$t
DB00182,DB01356,48,DB01545$t
DB00182,DB01359,59,DB09070$h
DB00182,DB01364,48,DB06729$h
DB00182,DB01365,48,DB00961$t
DB00182,DB01366,48,DB01082$t
DB00182,DB01367,70,DB00482$h
DB00182,DB01370,71,DB09293$h
DB00182,DB01377,71,DB06288$h
DB00182,DB01390,71,DB00877$h
DB00182,DB01393,48,DB00494$h
DB00182,DB01403,46,DB09047$h
DB00182,DB01407,48,DB00706$h
DB00182,DB01408,48,DB00385$t
DB00182,DB01463,60,DB13747$h
DB00182,DB01577,48,DB09162$t
DB00182,DB01580,59,DB01339$t
DB00182,DB01601,46,DB00686$t
DB00182,DB01608,60,DB00380$h
DB00182,DB01614,60,DB01002$h
DB00182,DB01615,60,DB13231$h
DB00182,DB01618,60,DB00340$h
DB00182,DB01619,75,DB13158$h
DB00182,DB01620,75,DB00229$h
DB00182,DB01621,60,DB09061$h
DB00182,DB01622,60,DB00524$h
DB00182,DB01623,60,DB00987$h
DB00182,DB01624,60,DB00261$h
DB00182,DB01626,59,DB00298$h
DB00182,DB02638,59,DB01196$t
DB00182,DB03754,71,DB00413$h
DB00182,DB04840,59,DB01256$t
DB00182,DB04841,75,DB01340$h
DB00182,DB04842,60,DB01083$h
DB00182,DB04844,48,DB00547$h
DB00182,DB04846,48,DB05541$h
DB00182,DB04855,46,DB08987$t
DB00182,DB04861,59,DB06712$h
DB00182,DB04868,46,DB00974$t
DB00182,DB04871,46,DB00337$h
DB00182,DB04946,60,DB01024$h
DB00182,DB04948,59,DB06274$t
DB00182,DB05039,48,DB00744$h
DB00182,DB05812,72,DB01558$t
DB00182,DB06016,60,DB03128$h
DB00182,DB06144,60,DB00837$h
DB00182,DB06148,48,DB01004$t
DB00182,DB06152,48,DB09094$t
DB00182,DB06216,60,DB00977$h
DB00182,DB06262,48,DB00819$t
DB00182,DB06268,59,DB00903$h
DB00182,DB06282,75,DB00896$h
DB00182,DB06288,60,DB00898$h
DB00182,DB06403,59,DB00415$t
DB00182,DB06595,46,DB00166$t
DB00182,DB06603,72,DB01378$t
DB00182,DB06691,75,DB00835$h
DB00182,DB06694,59,DB11793$h
DB00182,DB06697,46,DB08875$t
DB00182,DB06702,76,DB04844$t
DB00182,DB06704,69,DB03756$h
DB00182,DB06706,48,DB01170$h
DB00182,DB06708,46,DB01581$t
DB00182,DB06712,59,DB00924$h
DB00182,DB06723,71,DB00374$h
DB00182,DB06724,71,DB00400$h
DB00182,DB06766,75,DB09118$h
DB00182,DB06794,75,DB00841$h
DB00182,DB06826,59,DB06820$h
DB00182,DB07615,75,DB06764$h
DB00182,DB08799,75,DB09262$h
DB00182,DB08800,75,DB00654$h
DB00182,DB08801,75,DB09030$h
DB00182,DB08802,75,DB01282$h
DB00182,DB08806,75,DB00399$h
DB00182,DB08808,59,DB01129$t
DB00182,DB08815,60,DB00991$h
DB00182,DB08893,46,DB00856$t
DB00182,DB08922,60,DB09048$h
DB00182,DB08931,59,DB04571$h
DB00182,DB08932,59,DB01349$t
DB00182,DB08938,71,DB00843$h
DB00182,DB08941,48,DB06777$h
DB00182,DB08967,75,DB00620$h
DB00182,DB09000,60,DB00256$t
DB00182,DB09026,59,DB11235$h
DB00182,DB09039,46,DB00752$h
DB00182,DB09042,70,DB00977$h
DB00182,DB09065,72,DB01440$t
DB00182,DB09070,59,DB01209$h
DB00182,DB09080,48,DB00485$t
DB00182,DB09082,48,DB00315$h
DB00182,DB09104,71,DB01059$t
DB00182,DB09118,46,DB01044$h
DB00182,DB09128,60,DB00282$h
DB00182,DB09167,46,DB00539$t
DB00182,DB09209,63,DB09154$t
DB00182,DB09220,59,DB01591$t
DB00182,DB09224,60,DB00336$t
DB00182,DB09225,60,DB00412$t
DB00182,DB09235,59,DB00554$t
DB00182,DB09236,59,DB00186$t
DB00182,DB09238,46,DB05239$t
DB00182,DB09242,59,DB09204$t
DB00182,DB09244,70,DB01621$h
DB00182,DB09245,70,DB00987$h
DB00182,DB09273,48,DB00922$t
DB00182,DB09274,10,DB01246$t
DB00182,DB09275,71,DB11915$t
DB00182,DB09281,71,DB00319$h
DB00182,DB09286,60,DB00983$h
DB00182,DB09291,46,DB00317$h
DB00182,DB09352,48,DB09212$h
DB00182,DB09477,59,DB00290$t
DB00182,DB09488,75,DB09342$h
DB00182,DB09555,75,DB00771$h
DB00182,DB11235,75,DB11575$h
DB00182,DB11362,59,DB11256$t
DB00182,DB12332,46,DB01685$h
DB00182,DB13025,60,DB00412$h
DB00182,DB13139,48,DB00834$h
DB00182,DB13595,71,DB06441$h
DB00184,DB00907,46,DB01013$t
DB00184,DB01072,46,DB00515$t
DB00184,DB04855,46,DB06176$t
DB00184,DB04871,46,DB00370$t
DB00184,DB05219,46,DB01126$t
DB00184,DB06595,46,DB04398$t
DB00184,DB06603,72,DB00493$h
DB00184,DB06636,46,DB09320$t
DB00184,DB09073,72,DB06155$t
DB00184,DB09118,72,DB00681$h
DB00184,DB09274,10,DB02959$t
DB00184,DB09280,72,DB06742$h
DB00184,DB09291,46,DB11943$t
DB00184,DB09330,72,DB01299$h
DB00184,DB12332,46,DB00884$h
DB00185,DB00907,46,DB09093$t
DB00185,DB01072,46,DB00983$h
DB00185,DB04855,46,DB01106$t
DB00185,DB04871,46,DB00524$h
DB00185,DB06595,46,DB13179$t
DB00185,DB06603,72,DB00586$t
DB00185,DB06636,46,DB00236$t
DB00185,DB09073,72,DB01063$h
DB00185,DB09118,72,DB01010$t
DB00185,DB09291,46,DB00395$h
DB00185,DB09330,72,DB00838$t
DB00185,DB12332,46,DB09275$t
DB00186,DB00497,48,DB00370$t
DB00186,DB00645,48,DB00585$h
DB00186,DB00683,48,DB00762$t
DB00186,DB00907,48,DB08907$h
DB00186,DB01017,15,DB06795$h
DB00186,DB01174,48,DB01345$t
DB00186,DB01221,48,DB09211$t
DB00186,DB04908,48,DB00642$t
DB00186,DB06204,15,DB09162$h
DB00186,DB06216,48,DB00617$t
DB00186,DB06288,48,DB08884$t
DB00186,DB08918,48,DB06708$h
DB00186,DB09068,48,DB01168$h
DB00186,DB09118,48,DB01607$t
DB00186,DB09128,48,DB00918$t
DB00187,DB00465,36,DB01431$t
DB00187,DB00963,36,DB00919$h
DB00187,DB08822,48,DB00201$h
DB00187,DB08868,53,DB01186$h
DB00187,DB08918,72,DB00170$t
DB00187,DB09083,53,DB00977$t
DB00188,DB00497,48,DB00181$h
DB00188,DB00907,46,DB11093$t
DB00188,DB01072,72,DB00936$t
DB00188,DB01240,48,DB01072$t
DB00188,DB04908,48,DB00424$t
DB00188,DB04948,48,DB06212$t
DB00188,DB05219,46,DB06212$t
DB00188,DB06595,46,DB09256$h
DB00188,DB06603,72,DB00170$t
DB00188,DB08822,48,DB06684$h
DB00188,DB09073,72,DB06274$t
DB00188,DB09118,72,DB01656$h
DB00188,DB09292,48,DB00181$h
DB00188,DB09330,72,DB01250$h
DB00189,DB00645,48,DB01255$t
DB00189,DB00907,48,DB06684$t
DB00189,DB01017,15,DB09214$t
DB00189,DB04908,48,DB08967$h
DB00189,DB06204,15,DB00277$h
DB00189,DB06288,48,DB09232$h
DB00189,DB08918,48,DB01062$t
DB00189,DB09068,48,DB09124$h
DB00189,DB09118,48,DB06201$t
DB00189,DB09128,48,DB01248$h
DB00191,DB00388,48,DB09097$h
DB00191,DB00935,48,DB09268$t
DB00191,DB01174,74,DB00562$h
DB00191,DB06016,60,DB01429$h
DB00191,DB06216,60,DB00813$h
DB00191,DB06288,60,DB00699$h
DB00191,DB06704,69,DB00915$h
DB00191,DB09128,60,DB01424$t
DB00191,DB09241,70,DB11156$h
DB00193,DB00182,26,DB00508$t
DB00193,DB00497,48,DB02709$h
DB00193,DB00645,48,DB01158$h
DB00193,DB00683,48,DB09236$t
DB00193,DB01017,15,DB01582$h
DB00193,DB01072,72,DB00766$t
DB00193,DB01221,48,DB00499$t
DB00193,DB01576,68,DB08934$h
DB00193,DB04908,48,DB00247$t
DB00193,DB06016,48,DB04839$t
DB00193,DB06204,15,DB09130$h
DB00193,DB06216,48,DB06412$h
DB00193,DB06288,48,DB00467$h
DB00193,DB06603,72,DB00181$h
DB00193,DB06636,46,DB13153$t
DB00193,DB09073,72,DB00948$t
DB00193,DB09118,72,DB00606$h
DB00193,DB09128,48,DB00989$h
DB00193,DB09241,26,DB01135$h
DB00193,DB09272,38,DB00525$t
DB00193,DB09330,72,DB01233$t
DB00195,DB00465,36,DB00794$t
DB00195,DB00907,46,DB08983$t
DB00195,DB00963,36,DB00344$h
DB00195,DB01240,59,DB00491$h
DB00195,DB02638,59,DB09570$t
DB00195,DB06595,46,DB00897$h
DB00195,DB06603,72,DB00806$t
DB00195,DB08822,48,DB09143$t
DB00195,DB08868,53,DB00841$h
DB00195,DB09083,53,DB01599$h
DB00195,DB09118,46,DB00560$h
DB00195,DB09291,46,DB01595$h
DB00195,DB11362,59,DB00486$t
DB00196,DB00497,48,DB00728$t
DB00199,DB00497,48,DB01604$h
DB00199,DB00915,19,DB00561$h
DB00199,DB01072,46,DB08880$t
DB00199,DB04908,48,DB01298$t
DB00199,DB06210,72,DB06725$t
DB00199,DB08868,19,DB01078$h
DB00199,DB09073,72,DB01606$h
DB00199,DB09083,19,DB00485$h
DB00199,DB09118,72,DB09462$h
DB00199,DB09330,72,DB00869$t
DB00201,DB00907,46,DB00798$h
DB00201,DB01072,46,DB09061$t
DB00201,DB04855,46,DB00637$t
DB00201,DB05219,46,DB08991$t
DB00201,DB06595,46,DB11793$t
DB00201,DB06603,72,DB13142$t
DB00201,DB06636,46,DB09262$t
DB00201,DB09073,72,DB01214$h
DB00201,DB09118,72,DB08811$h
DB00201,DB09280,72,DB06203$t
DB00201,DB09291,46,DB01192$t
DB00201,DB09330,72,DB01351$h
DB00202,DB00497,53,DB00195$t
DB00202,DB00512,20,DB01041$h
DB00202,DB00694,39,DB01291$h
DB00202,DB01017,20,DB00963$h
DB00202,DB01043,72,DB06441$t
DB00202,DB06204,53,DB00354$t
DB00203,DB00497,48,DB00819$h
DB00203,DB00907,46,DB00696$t
DB00203,DB01072,72,DB06228$h
DB00203,DB01240,9,DB00471$h
DB00203,DB02638,9,DB01165$h
DB00203,DB04908,48,DB00671$t
DB00203,DB04948,9,DB00487$h
DB00203,DB05219,46,DB00181$t
DB00203,DB06203,72,DB09272$h
DB00203,DB06335,72,DB06772$h
DB00203,DB06595,46,DB09076$t
DB00203,DB06603,72,DB09352$h
DB00203,DB09073,72,DB06802$h
DB00203,DB09075,72,DB09462$t
DB00203,DB09118,72,DB11136$t
DB00203,DB09330,72,DB01060$t
DB00203,DB09570,72,DB01236$t
DB00203,DB11362,9,DB00542$h
DB00203,DB11730,72,DB00805$h
DB00204,DB00915,19,DB01183$t
DB00204,DB01072,72,DB00515$h
DB00204,DB04855,72,DB01440$t
DB00204,DB06216,32,DB00999$h
DB00204,DB06603,19,DB00601$h
DB00204,DB06636,72,DB00343$h
DB00204,DB08864,19,DB00831$t
DB00204,DB08868,81,DB09094$t
DB00204,DB08930,72,DB01151$h
DB00204,DB09073,72,DB01209$h
DB00204,DB09078,19,DB00764$h
DB00204,DB09118,72,DB00389$h
DB00204,DB09330,72,DB00511$h
DB00204,DB12332,72,DB00831$h
DB00206,DB00497,48,DB09096$h
DB00206,DB00645,48,DB01009$t
DB00206,DB00683,48,DB01147$t
DB00206,DB00907,48,DB00343$h
DB00206,DB01017,15,DB09285$t
DB00206,DB01174,48,DB01274$h
DB00206,DB01221,48,DB01126$h
DB00206,DB01240,59,DB01294$h
DB00206,DB02638,59,DB00947$t
DB00206,DB04908,48,DB09104$h
DB00206,DB04948,59,DB09112$t
DB00206,DB06204,15,DB00213$h
DB00206,DB06216,48,DB05630$h
DB00206,DB06335,74,DB06605$h
DB00206,DB06704,69,DB00490$t
DB00206,DB08822,48,DB06209$h
DB00206,DB08864,74,DB11915$h
DB00206,DB08916,74,DB01288$h
DB00206,DB09068,48,DB01105$t
DB00206,DB09118,48,DB06804$t
DB00206,DB09128,48,DB00718$h
DB00206,DB11362,59,DB06176$t
DB00207,DB00915,19,DB00289$h
DB00207,DB01072,46,DB09061$t
DB00207,DB04855,46,DB09231$t
DB00207,DB06636,46,DB00492$t
DB00207,DB08868,19,DB01000$h
DB00207,DB09073,72,DB09227$h
DB00207,DB09083,19,DB00862$h
DB00207,DB09118,72,DB00665$t
DB00207,DB09274,10,DB11943$t
DB00207,DB09330,72,DB00258$t
DB00208,DB00497,48,DB09102$t
DB00208,DB00907,46,DB00290$t
DB00208,DB01072,46,DB01203$t
DB00208,DB01240,52,DB00847$h
DB00208,DB03619,48,DB01239$t
DB00208,DB06595,46,DB04572$t
DB00208,DB06603,72,DB00357$h
DB00208,DB09073,72,DB00609$h
DB00208,DB09118,72,DB00986$t
DB00208,DB09330,72,DB04946$t
DB00209,DB00497,48,DB01165$t
DB00209,DB06204,48,DB01415$t
DB00209,DB09272,38,DB00612$t
DB00210,DB01240,69,DB00284$h
DB00210,DB01708,48,DB09321$t
DB00210,DB11660,69,DB08934$t
DB00210,DB11921,48,DB00201$h
DB00211,DB00388,48,DB01132$h
DB00211,DB00935,48,DB00319$t
DB00211,DB06704,69,DB01078$t
DB00211,DB09241,70,DB01384$h
DB00212,DB01240,59,DB00802$t
DB00212,DB02638,59,DB00624$t
DB00212,DB04948,59,DB00480$t
DB00212,DB11362,59,DB04878$h
DB00213,DB00182,17,DB00604$t
DB00213,DB00530,74,DB00228$t
DB00213,DB01576,17,DB09280$t
